"#","Collection","Volume (7d)","Sales (7d)","Volume (All Time)","Sales (All Time)","Avg Price (7d)","Total Supply","Owners","Owners%","Estimated Market Cap","Added"
"974","AnimalWorldWar","0 ETH","0","13.37 ETH","303","0 ETH","1,724","580","33.64%","0 ETH","2022/06/30"
"975","Apex Optimizers Official","0 ETH","0","13.36 ETH","111","0 ETH","888","432","48.65%","0 ETH","2022/07/28"
"976","Citrus Kids","0 ETH","0","13.34 ETH","325","0 ETH","1,639","469","28.62%","0 ETH","2022/08/09"
"977","Barn Owlz Dino Palz","0 ETH","0","12.52 ETH","194","0 ETH","2,016","838","41.57%","0 ETH","2022/08/10"
"978","Oddball Club (Official)","0.02 ETH","1","12.46 ETH","426","0.02 ETH","2,328","846","36.34%","40.74 ETH","2022/08/14"
"979","LegionVentures","0 ETH","0","12.17 ETH","5","0 ETH","600","253","42.17%","0 ETH","2022/07/01"
"980","Angry Penguins Grotto Gang","0.00 ETH","1","11.48 ETH","912","0.00 ETH","8,762","4,652","53.09%","24.53 ETH","2022/08/08"
"981","Posh Pandas","0 ETH","0","11.26 ETH","399","0 ETH","1,461","522","35.73%","0 ETH","2022/06/30"
"982","MaestroPups","0 ETH","0","11.25 ETH","697","0 ETH","2,995","730","24.37%","0 ETH","2022/08/14"
"983","3D Martians","0 ETH","0","11.14 ETH","159","0 ETH","2,354","888","37.72%","0 ETH","2022/08/09"
"984","Chimp Club Official","0 ETH","0","11.00 ETH","275","0 ETH","1,880","672","35.74%","0 ETH","2022/08/10"
"985","Zales I Polygon","0 ETH","0","10.94 ETH","906","0 ETH","8,991","1,559","17.34%","0 ETH","2022/08/19"
"986","Shaggy Sheep by BSSC","0 ETH","0","10.91 ETH","348","0 ETH","2,444","723","29.58%","0 ETH","2022/08/14"
"987","Pudgy 24 Pixel Gang","0 ETH","0","10.81 ETH","576","0 ETH","8,780","307","3.50%","0 ETH","2022/08/16"
"988","The Pickleverse - Genesis Pickles","0.01 ETH","1","10.80 ETH","223","0.01 ETH","1,000","286","28.60%","10.00 ETH","2022/08/02"
"989","Karmeleons","0.32 ETH","11","10.70 ETH","367","0.03 ETH","2,029","644","31.74%","58.10 ETH","2022/07/07"
"990","Mars Alien Cats Collection","0.01 ETH","1","10.48 ETH","509","0.01 ETH","10,298","3,578","34.74%","76.21 ETH","2022/08/09"
"991","Chimerapillars","0.03 ETH","3","10.47 ETH","396","0.01 ETH","3,417","1,160","33.95%","37.59 ETH","2022/08/06"
"992","CRYPPO","0 ETH","0","10.14 ETH","119","0 ETH","2,375","478","20.13%","0 ETH","2022/08/02"
"993","Look At My Raccoon","0 ETH","0","10.14 ETH","314","0 ETH","4,460","671","15.04%","0 ETH","2022/08/16"
"994","Kokeshi World","0 ETH","0","10.02 ETH","238","0 ETH","1,940","658","33.92%","0 ETH","2022/08/10"
"995","Raging Roosters Genesis","0 ETH","0","9.90 ETH","33","0 ETH","50","27","54.00%","0 ETH","2022/06/24"
"996","Altdoges","0 ETH","0","9.88 ETH","85","0 ETH","226","43","19.03%","0 ETH","2022/07/01"
"997","CryptoSpooks Genesis","0 ETH","0","9.71 ETH","483","0 ETH","3,001","851","28.36%","0 ETH","2022/08/11"
"998","Cybergoats","0 ETH","0","9.45 ETH","116","0 ETH","1,078","386","35.81%","0 ETH","2022/08/01"
"999","World of Alidia","0.20 ETH","10","8.89 ETH","107","0.02 ETH","2,909","952","32.73%","57.88 ETH","2022/07/06"
"1000","Plodding Pirates","0 ETH","0","8.69 ETH","201","0 ETH","1,883","737","39.14%","0 ETH","2021/09/03"
"1001","ApeOnly Island","0 ETH","0","8.65 ETH","276","0 ETH","2,911","754","25.90%","0 ETH","2022/08/03"
"1002","Zcode Doge NFT Official","0 ETH","0","8.53 ETH","30","0 ETH","258","120","46.51%","0 ETH","2022/08/06"
"1003","Crypto Gangs Genesis","0.01 ETH","1","8.28 ETH","167","0.01 ETH","1,500","383","25.53%","9.00 ETH","2022/07/23"
"1004","Big Brain Society","0 ETH","0","8.23 ETH","283","0 ETH","5,997","1,848","30.82%","0 ETH","2022/08/10"
"1005","Sodabits","0 ETH","0","8.20 ETH","735","0 ETH","1,000","307","30.70%","0 ETH","2022/07/08"
"1006","Sers","0 ETH","0","8.20 ETH","108","0 ETH","1,282","592","46.18%","0 ETH","2022/08/10"
"1007","Universe in a Cube. Cubes","0 ETH","0","7.96 ETH","295","0 ETH","3,551","1,107","31.17%","0 ETH","2022/08/17"
"1008","MetaMoxie Genesis","0 ETH","0","7.80 ETH","196","0 ETH","1,424","704","49.44%","0 ETH","2022/07/28"
"1009","Leatherfaces","0 ETH","0","7.63 ETH","80","0 ETH","905","359","39.67%","0 ETH","2022/08/09"
"1010","Glyphic x FUZI","0.02 ETH","1","7.32 ETH","79","0.02 ETH","1,150","401","34.87%","23.00 ETH","2022/08/05"
"1011","NFTBOY: Bored Ape Racers","0 ETH","0","7.20 ETH","204","0 ETH","1,921","887","46.17%","0 ETH","2022/08/11"
"1012","Lysergic Labs Acidheadz","0 ETH","0","7.19 ETH","294","0 ETH","2,689","828","30.79%","0 ETH","2022/07/19"
"1013","DireWolves V2","0 ETH","0","7.19 ETH","93","0 ETH","1,139","321","28.18%","0 ETH","2022/08/10"
"1014","SuburbanColors","0 ETH","0","7.18 ETH","188","0 ETH","1,024","382","37.30%","0 ETH","2022/08/01"
"1015","Dizzy Demons","0 ETH","0","7.18 ETH","216","0 ETH","1,818","554","30.47%","0 ETH","2022/08/09"
"1016","Boombaz","0 ETH","0","6.95 ETH","299","0 ETH","1,780","326","18.31%","0 ETH","2022/08/08"
"1017","Astrohedz","0 ETH","0","6.79 ETH","275","0 ETH","1,984","578","29.13%","0 ETH","2022/08/10"
"1018","Infinity Headset Genesis","0 ETH","0","6.74 ETH","19","0 ETH","491","155","31.57%","0 ETH","2022/08/13"
"1019","Anime Gang: Genesis","0.03 ETH","1","6.73 ETH","94","0.03 ETH","717","319","44.49%","17.93 ETH","2022/08/08"
"1020","THE SHRUNKENHEADZ","0 ETH","0","6.73 ETH","197","0 ETH","10,026","89","0.89%","0 ETH","2022/07/25"
"1021","CryptoPugsNFT","0 ETH","0","6.49 ETH","112","0 ETH","753","358","47.54%","0 ETH","2022/08/04"
"1022","Last Boy Standing","0 ETH","0","6.48 ETH","15","0 ETH","2,222","1,952","87.85%","0 ETH","2022/08/17"
"1023","Genesis Soulcops: Encrypted","0 ETH","0","6.37 ETH","62","0 ETH","2,229","406","18.21%","0 ETH","2022/08/10"
